MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
6,4,60.0,6402.0,0,0,3,3,3,0,2,9,2,2,0,5,5.0,5.0,1920.0,1950.0,1,1,13,15,2,0.0,2,2,2,2,2,2,1,0.0,1,0.0,596.0,596.0,1,2,0,4,596.0,596.0,0.0,1192.0,0.0,0.0,1.0,0.0,3.0,1.0,2,6.0,6,0.0,-1,5,1920.0,1,1.0,189.0,1,1,0,0.0,0.0,137.0,0.0,0.0,0.0,0,2,2,0.0,7.0,2009.0,8,4
4,3,60.0,9600.0,0,0,3,3,3,0,2,7,0,2,0,0,6.0,5.0,1924.0,1950.0,1,1,13,14,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,572.0,572.0,3,1,0,2,572.0,524.0,0.0,1096.0,0.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,8.0,128.0,0.0,0.0,0.0,0,0,2,0.0,4.0,2008.0,8,4
4,4,63.0,5000.0,0,0,3,3,3,0,2,17,2,2,0,0,5.0,4.0,1900.0,1950.0,1,1,13,14,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,540.0,540.0,1,3,0,3,889.0,551.0,0.0,1440.0,0.0,0.0,1.0,0.0,3.0,1.0,2,6.0,6,0.0,-1,1,1940.0,1,1.0,352.0,1,2,2,0.0,0.0,77.0,0.0,0.0,0.0,0,0,2,0.0,4.0,2006.0,8,4
2,4,50.0,9100.0,0,0,3,3,3,4,2,3,6,1,0,2,5.0,6.0,1930.0,1960.0,1,1,12,13,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,742.0,742.0,1,2,1,3,779.0,0.0,156.0,935.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,5,1988.0,1,1.0,308.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,600.0,8.0,2008.0,8,4
1,3,52.0,5825.0,0,0,2,3,3,4,2,3,2,2,0,2,4.0,5.0,1926.0,1953.0,1,1,8,8,1,108.0,2,3,2,1,2,2,1,0.0,1,0.0,600.0,600.0,1,3,1,4,747.0,0.0,0.0,747.0,0.0,0.0,1.0,0.0,1.0,1.0,2,5.0,6,0.0,-1,5,1953.0,1,2.0,528.0,2,2,2,0.0,0.0,32.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2006.0,8,4
4,4,60.0,5586.0,0,0,2,2,3,4,2,17,1,2,0,0,6.0,7.0,1920.0,1998.0,1,1,8,8,2,0.0,2,2,0,2,2,1,1,0.0,1,0.0,901.0,901.0,1,3,1,4,1088.0,110.0,0.0,1198.0,0.0,0.0,1.0,0.0,4.0,1.0,2,7.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,98.0,0.0,0.0,0.0,0.0,0,3,2,0.0,9.0,2008.0,3,0
1,4,47.0,4608.0,0,0,3,3,3,0,2,17,0,2,0,2,4.0,6.0,1945.0,1950.0,1,1,8,8,2,0.0,2,3,1,2,2,1,1,0.0,1,0.0,747.0,747.0,1,2,1,4,747.0,0.0,0.0,747.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,1,1945.0,1,1.0,220.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2010.0,8,4
15,3,60.0,12180.0,0,0,3,3,3,4,2,7,2,2,1,0,4.0,4.0,1941.0,1950.0,1,1,8,8,2,0.0,2,1,0,3,2,1,4,348.0,1,0.0,324.0,672.0,3,1,0,3,672.0,252.0,0.0,924.0,1.0,0.0,1.0,0.0,2.0,1.0,1,5.0,6,0.0,-1,5,1941.0,1,1.0,280.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,0.0,7.0,2010.0,8,4
0,3,69.5,9000.0,0,0,3,3,3,4,2,19,2,2,0,2,5.0,3.0,1959.0,1959.0,1,1,13,10,2,0.0,2,2,1,2,2,1,6,288.0,1,0.0,718.0,1006.0,1,2,1,4,1006.0,0.0,0.0,1006.0,0.0,0.0,1.0,0.0,3.0,1.0,2,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,0.0,24.0,0.0,0.0,0.0,0.0,0,0,2,0.0,7.0,2008.0,8,4
4,4,52.0,6240.0,0,0,3,3,3,4,2,3,2,2,0,0,4.0,5.0,1947.0,1950.0,1,1,0,0,2,0.0,2,2,3,-1,-1,0,0,0.0,0,0.0,0.0,0.0,1,3,0,4,672.0,240.0,0.0,912.0,0.0,0.0,1.0,0.0,2.0,1.0,2,3.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,7.0,2006.0,8,4
14,4,21.0,1890.0,0,0,3,3,3,4,2,10,2,2,3,6,4.0,7.0,1972.0,1972.0,1,1,5,5,2,0.0,2,3,1,3,2,3,5,495.0,1,0.0,135.0,630.0,1,3,1,4,630.0,0.0,0.0,630.0,1.0,0.0,1.0,0.0,1.0,1.0,2,3.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,88.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2008.0,8,4
4,3,58.0,8410.0,0,0,3,3,3,2,2,7,1,2,0,0,5.0,3.0,1910.0,1996.0,2,1,13,13,2,0.0,2,1,2,2,2,1,1,0.0,1,0.0,658.0,658.0,1,2,1,4,658.0,526.0,0.0,1184.0,0.0,0.0,1.0,0.0,5.0,1.0,2,8.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,151.0,0.0,0.0,0.0,0.0,0,0,2,0.0,5.0,2006.0,8,1
0,2,60.0,8400.0,0,0,3,3,3,4,2,20,1,2,0,2,4.0,4.0,1950.0,1950.0,1,1,13,0,2,0.0,1,1,1,2,1,1,1,0.0,1,0.0,721.0,721.0,1,3,1,4,841.0,0.0,0.0,841.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,4,1950.0,1,1.0,294.0,2,2,0,250.0,0.0,24.0,0.0,0.0,0.0,0,0,2,0.0,9.0,2009.0,8,4
0,3,74.0,10206.0,0,0,3,3,3,0,2,7,2,2,0,2,3.0,3.0,1952.0,1952.0,0,5,2,2,2,0.0,2,2,3,-1,-1,0,0,0.0,0,0.0,0.0,0.0,2,1,0,2,944.0,0.0,0.0,944.0,0.0,0.0,1.0,0.0,2.0,1.0,1,4.0,2,0.0,-1,5,1956.0,1,2.0,528.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,7.0,2009.0,8,4
1,3,69.5,12342.0,0,0,2,3,3,4,2,7,2,2,0,2,4.0,5.0,1940.0,1950.0,1,1,12,13,2,0.0,2,2,1,2,2,1,4,262.0,1,0.0,599.0,861.0,1,4,1,4,861.0,0.0,0.0,861.0,0.0,0.0,1.0,0.0,1.0,1.0,2,4.0,6,0.0,-1,5,1961.0,1,2.0,539.0,2,2,2,158.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,3.0,2009.0,8,4
1,3,50.0,5330.0,0,0,3,1,3,4,2,3,2,2,0,2,4.0,7.0,1940.0,1950.0,3,1,12,13,2,0.0,1,2,1,2,2,1,2,280.0,1,0.0,140.0,420.0,1,3,1,4,708.0,0.0,0.0,708.0,0.0,0.0,1.0,0.0,2.0,1.0,1,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,164.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,12.0,2009.0,8,4
0,3,85.0,11900.0,0,0,3,3,3,4,2,14,2,2,0,2,7.0,5.0,1977.0,1977.0,3,1,9,10,1,209.0,2,3,1,2,2,1,5,822.0,1,0.0,564.0,1386.0,1,2,1,4,1411.0,0.0,0.0,1411.0,0.0,0.0,2.0,0.0,3.0,1.0,2,6.0,6,1.0,2,1,1977.0,3,2.0,544.0,2,2,2,192.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,4.0,2009.0,8,3
13,4,21.0,1953.0,0,0,3,3,3,4,2,2,2,2,3,5,6.0,5.0,1973.0,1973.0,1,1,6,6,1,408.0,2,2,1,2,1,1,4,309.0,1,0.0,174.0,483.0,1,2,1,4,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,2,5.0,6,0.0,-1,5,1973.0,1,1.0,264.0,2,2,2,72.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2006.0,8,4
13,4,69.5,1974.0,0,0,3,3,3,4,2,10,2,2,4,5,4.0,5.0,1973.0,1973.0,1,1,5,5,2,0.0,2,2,1,2,2,1,4,334.0,1,0.0,212.0,546.0,1,2,1,4,546.0,546.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,2,6.0,6,0.0,-1,1,1973.0,2,1.0,286.0,2,2,2,120.0,96.0,0.0,0.0,0.0,0.0,0,0,2,0.0,5.0,2010.0,8,4
0,3,69.5,11500.0,0,0,2,3,3,1,2,7,2,2,0,2,4.0,3.0,1957.0,1957.0,1,1,13,14,2,0.0,2,3,3,-1,-1,0,0,0.0,0,0.0,0.0,0.0,1,4,0,4,845.0,0.0,0.0,845.0,0.0,0.0,1.0,0.0,3.0,1.0,2,5.0,6,0.0,-1,5,1957.0,1,1.0,290.0,2,2,0,186.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2009.0,8,4
14,4,21.0,1936.0,0,0,3,3,3,4,2,10,2,2,3,6,4.0,6.0,1970.0,1970.0,1,1,5,5,2,0.0,2,2,1,3,2,3,4,131.0,6,499.0,0.0,630.0,1,3,1,4,630.0,0.0,0.0,630.0,1.0,0.0,1.0,0.0,1.0,1.0,2,3.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,0.0,12.0,2007.0,8,4
15,4,60.0,6780.0,0,0,3,3,3,4,2,9,2,2,1,0,6.0,8.0,1935.0,1982.0,1,1,13,14,2,0.0,2,1,1,2,2,3,6,490.0,1,0.0,30.0,520.0,1,3,0,4,520.0,0.0,234.0,754.0,1.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,53.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2006.0,8,4
0,3,60.0,11100.0,0,0,3,0,3,4,2,7,2,2,0,2,4.0,7.0,1946.0,2006.0,1,1,8,8,2,0.0,2,2,1,-1,-1,0,0,0.0,0,0.0,0.0,0.0,1,4,1,4,930.0,0.0,0.0,930.0,0.0,0.0,1.0,0.0,2.0,1.0,3,6.0,6,0.0,-1,5,1946.0,1,1.0,308.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,4.0,2010.0,8,0
1,3,67.0,8777.0,0,0,3,3,3,4,2,7,1,2,0,2,5.0,7.0,1910.0,1950.0,1,1,8,14,2,0.0,2,2,1,1,2,1,1,0.0,1,0.0,796.0,796.0,1,3,1,3,796.0,0.0,0.0,796.0,0.0,0.0,1.0,0.0,2.0,1.0,2,4.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,1,328.0,0.0,164.0,0.0,0.0,0.0,0,3,2,0.0,5.0,2008.0,8,4
4,0,105.0,8470.0,0,0,2,3,3,0,2,9,1,1,0,0,3.0,2.0,1915.0,1982.0,3,1,9,10,2,0.0,1,1,1,2,1,1,1,0.0,1,0.0,1013.0,1013.0,1,2,0,4,1013.0,0.0,513.0,1526.0,0.0,0.0,1.0,0.0,2.0,1.0,1,6.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,156.0,0.0,0.0,0.0,0,3,2,0.0,10.0,2009.0,3,0
1,4,60.0,7200.0,0,0,3,3,3,4,2,17,2,2,0,2,5.0,4.0,1910.0,2006.0,3,1,8,12,2,0.0,2,2,0,2,2,1,5,247.0,3,465.0,310.0,1022.0,2,2,0,4,1022.0,0.0,0.0,1022.0,1.0,0.0,1.0,0.0,2.0,1.0,2,4.0,1,0.0,-1,5,1956.0,1,1.0,280.0,2,2,2,0.0,30.0,226.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2009.0,8,4
13,4,21.0,1680.0,0,0,3,3,3,4,2,2,2,2,3,5,6.0,5.0,1971.0,1971.0,1,1,6,6,1,232.0,2,2,1,2,2,1,5,387.0,1,0.0,96.0,483.0,1,2,1,4,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,2,4.0,6,0.0,-1,5,1971.0,1,1.0,264.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,7.0,2008.0,0,0
1,3,51.0,5900.0,0,0,2,2,3,4,2,3,2,2,0,2,4.0,7.0,1923.0,1958.0,1,1,13,14,2,0.0,2,2,2,3,2,1,1,0.0,1,0.0,440.0,440.0,1,2,1,3,869.0,0.0,0.0,869.0,0.0,0.0,1.0,0.0,2.0,1.0,1,4.0,6,0.0,-1,1,1979.0,0,0.0,0.0,-1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,8.0,2006.0,8,4
1,3,60.0,5400.0,0,0,3,3,3,0,2,17,2,2,0,2,5.0,6.0,1920.0,1950.0,1,1,13,14,2,0.0,2,2,0,1,2,1,1,0.0,1,0.0,691.0,691.0,1,4,1,3,691.0,0.0,0.0,691.0,0.0,0.0,1.0,0.0,2.0,1.0,4,4.0,6,0.0,-1,5,1920.0,1,1.0,216.0,1,2,0,0.0,20.0,94.0,0.0,0.0,0.0,0,0,2,0.0,1.0,2007.0,8,0
14,4,21.0,1526.0,0,0,3,3,3,4,2,10,2,2,3,6,4.0,8.0,1970.0,2002.0,1,1,5,5,2,0.0,2,3,1,3,2,3,6,515.0,1,0.0,115.0,630.0,1,2,1,4,630.0,0.0,0.0,630.0,1.0,0.0,1.0,0.0,1.0,1.0,3,3.0,6,0.0,-1,1,1970.0,1,1.0,286.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,5.0,2009.0,8,4
3,4,50.0,5000.0,0,0,3,3,3,4,2,9,5,2,0,1,5.0,6.0,1941.0,1950.0,1,1,8,8,2,0.0,2,2,1,2,2,3,4,116.0,1,0.0,604.0,720.0,1,0,0,2,803.0,0.0,0.0,803.0,0.0,0.0,1.0,0.0,2.0,1.0,2,5.0,6,0.0,-1,5,1941.0,1,2.0,360.0,2,2,2,0.0,0.0,244.0,0.0,0.0,0.0,0,0,2,0.0,12.0,2007.0,8,4
3,4,55.0,4388.0,0,0,2,2,3,4,2,17,1,2,0,1,5.0,7.0,1930.0,1950.0,1,1,14,14,2,0.0,2,3,0,2,2,1,2,116.0,1,0.0,556.0,672.0,1,4,1,4,840.0,0.0,0.0,840.0,0.0,0.0,1.0,0.0,3.0,1.0,2,5.0,6,1.0,2,1,1979.0,0,0.0,0.0,-1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,6.0,2007.0,8,4
